"","id","doses","totMem","immRate","year","type","gradeRange","pubPriv","team2014","p.vfc","frLunch13","school"
"185",-23,38,160,23.75,2011,"prek","prek","priv",NA,NA,NA,"WESTWOOD HILLS"
"186",141,323,1033,31.2681510164569,2011,"mid","mid","pub","1",43.5164835164835,54.12,"WESTWOOD MIDDLE"
"187",501.1,28,70,40,2011,"prek","prek","pub","3",NA,NA,"WILES HEADSTART"
"188",501,394,747,52.7443105756359,2011,"elem","elem","pub","3",38.715953307393,44.32,"WILES ELEM."
"189",111,112,493,22.7180527383367,2011,"elem","elem","pub","1",53.3333333333333,74.73,"WILLIAMS ELEM."
"190",52,28,64,43.75,2012,"elem","elem","pub","4",91.304347826087,80,"A QUINN ELEM."
"191",161,160,376,42.5531914893617,2012,"elem","elem","pub","4",52.760736196319,64.25,"ALACHUA ELEM."
"192",1011,37,160,23.125,2012,"multi","k-8","priv",NA,39.0243902439024,NA,"ALACHUA LEARNING CTR"
"193",171,270,459,58.8235294117647,2012,"elem","elem","pub","4",49.8181818181818,59.43,"ARCHER ELEM."
"194",-1,14,65,21.5384615384615,2012,"prek","prek","priv",NA,12.5,NA,"B'NAI ISRAEL"
"195",-2,95,190,50,2012,"multi","prek-5","priv",NA,15.7303370786517,NA,"BRENTWOOD SCHOOL"
"196",431,580,1987,29.1897332662305,2012,"high","high","pub","2",25.5972696245734,27.28,"BUCHHOLZ HIGH"
"197",953,33,165,20,2012,"elem","elem","priv",NA,87.1794871794872,94.3,"CARING & SHARING LEARNING"
"198",510,321,616,52.1103896103896,2012,"elem","elem","pub","2",21.5568862275449,34.83,"CHILES ELEM."
"199",-3,13,42,30.952380952381,2012,"multi","k-12","priv",NA,57.1428571428571,NA,"CHRISTIAN LIFE ACADEMY"
"200",-4,50,125,40,2012,"multi","prek-12","priv",NA,20.8333333333333,NA,"COUNTRYSIDE BAPTIST"
"201",21,153,309,49.5145631067961,2012,"elem","elem","pub","1",87.218045112782,96.6,"DUVAL ELEM."
"202",421,275,1266,21.7219589257504,2012,"high","high","pub","2",34.3661971830986,52.69,"EASTSIDE HIGH"
"203",955,39,106,36.7924528301887,2012,"multi","2-8","priv",NA,48.8888888888889,51.4,"EINSTEIN MONT"
"204",956,12,20,60,2012,"elem","elem","priv",NA,23.0769230769231,12.09,"EXPRESSIONS"
"205",-5,70,227,30.8370044052863,2012,"elem","elem","priv",NA,24.6913580246914,NA,"FIRST CHRISTIAN ACADEMY"
"206",-6,33,112,29.4642857142857,2012,"elem","elem","priv",NA,58.8235294117647,NA,"FOREST GROVE"
"207",481,394,822,47.9318734793187,2012,"mid","mid","pub","3",38.7951807228916,42.25,"FT. CLARKE MIDDLE"
"208",151,323,1815,17.7961432506887,2012,"high","high","pub","3",30.4932735426009,42.3,"GAINESVILLE HIGH"
"209",958,9,72,12.5,2012,"elem","elem","priv",NA,88.8888888888889,82.35,"GENESIS PREP."
"210",331,262,439,59.6810933940774,2012,"elem","elem","pub","1",36.7892976588629,45.53,"GLEN SPRINGS ELEM."
"211",-7,106,250,42.4,2012,"prek","prek","priv",NA,9.52380952380952,NA,"G'VILLE COUNTRY DAY PRE-K 75TH"
"212",201,57,303,18.8118811881188,2012,"high","high","pub","3",75,79.53,"HAWTHORNE JR./SR. HIGH"
"213",981,48,85,56.4705882352941,2012,"elem","elem","priv",NA,15.3846153846154,26.14,"HEALTHY LEARNING"
"214",482,403,706,57.0821529745043,2012,"elem","elem","pub","3",20.4761904761905,29.5,"HIDDEN OAK ELEM."
"215",461,417,837,49.8207885304659,2012,"elem","elem","pub","3",32.6027397260274,39.86,"HIGH SPRINGS ELEM."
"216",971,39,105,37.1428571428571,2012,"mid","mid","priv",NA,57.5,79.82,"HOGGTOWN MIDDLE"
"217",412,14,101,13.8613861386139,2012,"high","high","pub","1",75,93.26,"HORIZON CENTER"
"218",121,237,694,34.149855907781,2012,"mid","mid","pub","2",39.5161290322581,60.03,"HOWARD BISHOP MIDDLE"
"219",321,221,645,34.2635658914729,2012,"elem","elem","pub","3",73.5593220338983,83.18,"IDYLWILD ELEM."
"220",571,240,450,53.3333333333333,2012,"elem","elem","pub","2",59.5330739299611,65.35,"IRBY ELEM."
"221",31,306,548,55.8394160583942,2012,"elem","elem","pub","1",48.3333333333333,56.25,"JJ FINLEY ELEM."
"222",-9,49,115,42.6086956521739,2012,"multi","prek-8","priv",NA,5.08474576271186,NA,"JORDAN GLENN"
"223",502,380,969,39.2156862745098,2012,"mid","mid","pub","4",35.8536585365854,45.6,"KANAPAHA MIDDLE"
"224",71,118,311,37.9421221864952,2012,"elem","elem","pub","4",88.4615384615385,96,"LAKE FOREST ELEM."
"225",112,252,694,36.3112391930836,2012,"mid","mid","pub","2",35.2941176470588,53.76,"LINCOLN MIDDLE"
"226",91,293,606,48.3498349834984,2012,"elem","elem","pub","3",78.8461538461538,59.55,"LITTLEWOOD ELEM."
"227",411,46,206,22.3300970873786,2012,"high","high","pub","1",39.6551724137931,65.32,"LOFTEN HIGH"
"228",520,314,577,54.419410745234,2012,"elem","elem","pub","1",30.9002433090024,38.27,"MEADOWBROOK ELEM."
"229",221,162,382,42.4083769633508,2012,"mid","mid","pub","4",51.7730496453901,62.67,"MEBANE MIDDLE"
"230",101,97,309,31.3915857605178,2012,"elem","elem","pub","4",80.5970149253731,94.84,"METCALFE ELEM."
"231",951,63,122,51.6393442622951,2012,"elem","elem","priv",NA,54.6666666666667,NA,"MICANOPY AREA CO-OP"
"232",961,17,66,25.7575757575758,2012,"mid","mid","priv",NA,55.5555555555556,65.57,"MICANOPY MIDDLE SCHOOL"
"233",-10,80,235,34.0425531914894,2012,"multi","prek-8","priv",NA,3.15789473684211,NA,"MILLHOPPER MONTESSORI"
"234",531,290,486,59.6707818930041,2012,"elem","elem","pub","3",51.2345679012346,54.75,"NEWBERRY ELEM."
"235",261,195,561,34.7593582887701,2012,"high","high","pub","3",42.2885572139303,44.25,"NEWBERRY HIGH"
"236",541,315,603,52.2388059701492,2012,"elem","elem","pub","2",48.695652173913,57.25,"NORTON ELEM."
"237",-11,420,826,50.8474576271186,2012,"high","high","priv",NA,10.1809954751131,NA,"OAK HALL"
"238",591,282,659,42.7921092564492,2012,"mid","mid","pub","1",36.3372093023256,44.71,"OAKVIEW MIDDLE"
"239",950,69,172,40.1162790697674,2012,"elem","elem","priv",NA,63.6363636363636,71.15,"ONE ROOM SCHOOL HOUSE"
"240",391,335,1150,29.1304347826087,2012,"multi","k-12","pub",NA,20.2572347266881,NA,"PK YONGE"
"241",500,27,87,31.0344827586207,2012,"elem","elem","pub",NA,95.2380952380952,100,"PRAIRIE VIEW"
"242",341,96,295,32.5423728813559,2012,"elem","elem","pub","2",86.7647058823529,78.98,"RAWLINGS & FERNSIDE"
"243",271,138,968,14.2561983471074,2012,"high","high","pub","1",36.2989323843416,25.67,"SANTE FE HIGH"
