"","id","X","doses","totMem","immRate","year","type","gradeRange","pubPriv","team2014","p.vfc","frLunch13","school","cfrr","cfrr_grade-1","cfrr_grade0","cfrr_grade1","cfrr_grade2","cfrr_grade3","cfrr_grade4","cfrr_grade5","cfrr_grade6","cfrr_grade7","cfrr_grade8","cfrr_grade9","cfrr_grade10","cfrr_grade11","cfrr_grade12","immRate_grade-1","immRate_grade0","immRate_grade1","immRate_grade2","immRate_grade3","immRate_grade4","immRate_grade5","immRate_grade6","immRate_grade7","immRate_grade8","immRate_grade9","immRate_grade10","immRate_grade11","immRate_grade12","cfrr_brad"
"61",141,61,368,994,37,2009,"mid","mid","pub",1,43.5164835164835,54.12,"WESTWOOD MIDDLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81
"62",52,62,24,66,36.3636363636364,2010,"elem","elem","pub",4,91.304347826087,80,"A QUINN ELEM.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"63",161,63,160,424,37.7358490566038,2010,"elem","elem","pub",4,52.760736196319,64.25,"ALACHUA ELEM.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
"64",1011,64,38,170,22.3529411764706,2010,"multi","k-8","priv",NA,39.0243902439024,NA,"ALACHUA LEARNING CTR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",171,65,271,470,57.6595744680851,2010,"elem","elem","pub",4,49.8181818181818,59.43,"ARCHER ELEM.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
"66",-1,66,5,65,7.69230769230769,2010,"prek","prek","priv",NA,12.5,NA,"B'NAI ISRAEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",-21,67,3,59,5.08474576271186,2010,"multi","prek-8","priv",NA,NA,NA,"BHAKTIVEDANTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",-2,68,80,183,43.7158469945355,2010,"multi","prek-5","priv",NA,15.7303370786517,NA,"BRENTWOOD SCHOOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",431,69,344,2048,16.796875,2010,"high","high","pub",2,25.5972696245734,27.28,"BUCHHOLZ HIGH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51
"70",953,70,37,124,29.8387096774194,2010,"elem","elem","priv",NA,87.1794871794872,94.3,"CARING & SHARING LEARNING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",510,71,356,715,49.7902097902098,2010,"elem","elem","pub",2,21.5568862275449,34.83,"CHILES ELEM.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71
